id_covid_data,date,state,positive,hospitalized_curr,hospizalited_acum,death,id_state
0,2020-01-22,Washington,0.0,0.0,0.0,0.0,56
1,2020-01-22,Massachusetts,0.0,0.0,0.0,0.0,26
2,2020-01-23,Massachusetts,0.0,0.0,0.0,0.0,26
3,2020-01-23,Washington,0.0,0.0,0.0,0.0,56
4,2020-01-24,Washington,0.0,0.0,0.0,0.0,56
5,2020-01-24,Massachusetts,0.0,0.0,0.0,0.0,26
6,2020-01-25,Washington,0.0,0.0,0.0,0.0,56
7,2020-01-25,Massachusetts,0.0,0.0,0.0,0.0,26
8,2020-01-26,Washington,0.0,0.0,0.0,0.0,56
9,2020-01-26,Massachusetts,0.0,0.0,0.0,0.0,26
10,2020-01-27,Washington,0.0,0.0,0.0,0.0,56
11,2020-01-27,Massachusetts,0.0,0.0,0.0,0.0,26
12,2020-01-28,Washington,0.0,0.0,0.0,0.0,56
13,2020-01-28,Massachusetts,0.0,0.0,0.0,0.0,26
14,2020-01-29,Washington,0.0,0.0,0.0,0.0,56
15,2020-01-29,Massachusetts,0.0,0.0,0.0,0.0,26
16,2020-01-29,Florida,0.0,0.0,0.0,0.0,12
17,2020-01-30,Florida,0.0,0.0,0.0,0.0,12
18,2020-01-30,Washington,0.0,0.0,0.0,0.0,56
19,2020-01-30,Massachusetts,0.0,0.0,0.0,0.0,26
20,2020-01-31,Washington,0.0,0.0,0.0,0.0,56
21,2020-01-31,Massachusetts,0.0,0.0,0.0,0.0,26
22,2020-01-31,Florida,0.0,0.0,0.0,0.0,12
23,2020-02-01,Washington,0.0,0.0,0.0,0.0,56
24,2020-02-01,Massachusetts,0.0,0.0,0.0,0.0,26
25,2020-02-01,Florida,0.0,0.0,0.0,0.0,12
26,2020-02-02,Florida,0.0,0.0,0.0,0.0,12
27,2020-02-02,Massachusetts,0.0,0.0,0.0,0.0,26
28,2020-02-02,Washington,0.0,0.0,0.0,0.0,56
29,2020-02-03,Washington,0.0,0.0,0.0,0.0,56
30,2020-02-03,Massachusetts,0.0,0.0,0.0,0.0,26
31,2020-02-03,Florida,0.0,0.0,0.0,0.0,12
32,2020-02-04,Washington,0.0,0.0,0.0,0.0,56
33,2020-02-04,Massachusetts,0.0,0.0,0.0,0.0,26
34,2020-02-04,Florida,0.0,0.0,0.0,0.0,12
35,2020-02-05,Florida,0.0,0.0,0.0,0.0,12
36,2020-02-05,Washington,0.0,0.0,0.0,0.0,56
37,2020-02-05,Massachusetts,0.0,0.0,0.0,0.0,26
38,2020-02-06,Washington,0.0,0.0,0.0,0.0,56
39,2020-02-06,Massachusetts,0.0,0.0,0.0,0.0,26
40,2020-02-06,Florida,0.0,0.0,0.0,0.0,12
41,2020-02-07,Washington,0.0,0.0,0.0,0.0,56
42,2020-02-07,Massachusetts,0.0,0.0,0.0,0.0,26
43,2020-02-07,Florida,0.0,0.0,0.0,0.0,12
44,2020-02-08,Washington,0.0,0.0,0.0,0.0,56
45,2020-02-08,Massachusetts,0.0,0.0,0.0,0.0,26
46,2020-02-08,Florida,0.0,0.0,0.0,0.0,12
47,2020-02-09,Washington,0.0,0.0,0.0,0.0,56
48,2020-02-09,Massachusetts,0.0,0.0,0.0,0.0,26
49,2020-02-09,Florida,0.0,0.0,0.0,0.0,12
50,2020-02-10,Florida,0.0,0.0,0.0,0.0,12
51,2020-02-10,Massachusetts,0.0,0.0,0.0,0.0,26
52,2020-02-10,Washington,0.0,0.0,0.0,0.0,56
53,2020-02-10,New Jersey,0.0,0.0,0.0,0.0,35
54,2020-02-11,Washington,0.0,0.0,0.0,0.0,56
55,2020-02-11,New Jersey,0.0,0.0,0.0,0.0,35
56,2020-02-11,Massachusetts,0.0,0.0,0.0,0.0,26
57,2020-02-11,Florida,0.0,0.0,0.0,0.0,12
58,2020-02-12,Washington,0.0,0.0,0.0,0.0,56
59,2020-02-12,New Jersey,0.0,0.0,0.0,0.0,35
60,2020-02-12,Massachusetts,0.0,0.0,0.0,0.0,26
61,2020-02-12,Florida,0.0,0.0,0.0,0.0,12
62,2020-02-13,Washington,0.0,0.0,0.0,0.0,56
63,2020-02-13,New Jersey,0.0,0.0,0.0,0.0,35
64,2020-02-13,Massachusetts,0.0,0.0,0.0,0.0,26
65,2020-02-13,Florida,0.0,0.0,0.0,0.0,12
66,2020-02-14,Florida,0.0,0.0,0.0,0.0,12
67,2020-02-14,Massachusetts,0.0,0.0,0.0,0.0,26
68,2020-02-14,New Jersey,0.0,0.0,0.0,0.0,35
69,2020-02-14,Washington,0.0,0.0,0.0,0.0,56
70,2020-02-15,Washington,0.0,0.0,0.0,0.0,56
71,2020-02-15,New Jersey,0.0,0.0,0.0,0.0,35
72,2020-02-15,Nebraska,0.0,0.0,0.0,0.0,32
73,2020-02-15,Massachusetts,0.0,0.0,0.0,0.0,26
74,2020-02-15,Florida,0.0,0.0,0.0,0.0,12
75,2020-02-16,Florida,0.0,0.0,0.0,0.0,12
76,2020-02-16,Massachusetts,0.0,0.0,0.0,0.0,26
77,2020-02-16,New Jersey,0.0,0.0,0.0,0.0,35
78,2020-02-16,Washington,0.0,0.0,0.0,0.0,56
79,2020-02-16,Nebraska,0.0,0.0,0.0,0.0,32
80,2020-02-17,Washington,0.0,0.0,0.0,0.0,56
81,2020-02-17,New Jersey,0.0,0.0,0.0,0.0,35
82,2020-02-17,Nebraska,0.0,0.0,0.0,0.0,32
83,2020-02-17,Massachusetts,0.0,0.0,0.0,0.0,26
84,2020-02-17,Florida,0.0,0.0,0.0,0.0,12
85,2020-02-18,Florida,0.0,0.0,0.0,0.0,12
86,2020-02-18,Massachusetts,0.0,0.0,0.0,0.0,26
87,2020-02-18,Washington,0.0,0.0,0.0,0.0,56
88,2020-02-18,New Jersey,0.0,0.0,0.0,0.0,35
89,2020-02-18,Nebraska,0.0,0.0,0.0,0.0,32
90,2020-02-19,Washington,0.0,0.0,0.0,0.0,56
91,2020-02-19,New Jersey,0.0,0.0,0.0,0.0,35
92,2020-02-19,Nebraska,0.0,0.0,0.0,0.0,32
93,2020-02-19,Massachusetts,0.0,0.0,0.0,0.0,26
94,2020-02-19,Florida,0.0,0.0,0.0,0.0,12
95,2020-02-20,Washington,0.0,0.0,0.0,0.0,56
96,2020-02-20,New Jersey,0.0,0.0,0.0,0.0,35
97,2020-02-20,Nebraska,0.0,0.0,0.0,0.0,32
98,2020-02-20,Massachusetts,0.0,0.0,0.0,0.0,26
99,2020-02-20,Florida,0.0,0.0,0.0,0.0,12
100,2020-02-21,Florida,0.0,0.0,0.0,0.0,12
101,2020-02-21,Massachusetts,0.0,0.0,0.0,0.0,26
102,2020-02-21,New Jersey,0.0,0.0,0.0,0.0,35
103,2020-02-21,Washington,0.0,0.0,0.0,0.0,56
104,2020-02-21,Nebraska,0.0,0.0,0.0,0.0,32
105,2020-02-22,Washington,0.0,0.0,0.0,0.0,56
106,2020-02-22,New Jersey,0.0,0.0,0.0,0.0,35
107,2020-02-22,Nebraska,0.0,0.0,0.0,0.0,32
108,2020-02-22,Massachusetts,0.0,0.0,0.0,0.0,26
109,2020-02-22,Florida,0.0,0.0,0.0,0.0,12
110,2020-02-23,Washington,0.0,0.0,0.0,0.0,56
111,2020-02-23,New Jersey,0.0,0.0,0.0,0.0,35
112,2020-02-23,Nebraska,0.0,0.0,0.0,0.0,32
113,2020-02-23,Massachusetts,0.0,0.0,0.0,0.0,26
114,2020-02-23,Florida,0.0,0.0,0.0,0.0,12
115,2020-02-24,Florida,0.0,0.0,0.0,0.0,12
116,2020-02-24,Massachusetts,0.0,0.0,0.0,0.0,26
117,2020-02-24,New Jersey,0.0,0.0,0.0,0.0,35
118,2020-02-24,Washington,0.0,0.0,0.0,0.0,56
119,2020-02-24,Nebraska,0.0,0.0,0.0,0.0,32
120,2020-02-25,Washington,0.0,0.0,0.0,0.0,56
121,2020-02-25,New Jersey,0.0,0.0,0.0,0.0,35
